Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,1628.76857300184,1761.83829586572,1731.86909640114,1705.83900348854,1689.98238051624,1498.71597073834,1335.7431649955,1529.92307995549,1553.61794421394,1508.0315245887,1351.50316694933
Africa Eastern and Southern,AFE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.35972537295694,6.2708392029194,6.07532688187087,6.06318749507177,5.71319321750065,5.89158804069771,6.01013121696575,5.8615134661489,5.72726191770079,5.75412533119706,5.98549369692664
Africa Eastern and Southern,AFE,"School enrollment, primary (% gross)",SE.PRM.ENRR,101.005401611328,100.985237121582,101.240112304688,100.529190063477,100.930152893066,99.6975326538086,100.342109680176,101.228408813477,102.624809265137,103.610618591309,104.591941833496
Africa Eastern and Southern,AFE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,75.7346145208391,76.2290509026957,76.8121747084135,75.7186584649001,75.9823881525848,74.9219021561458,73.357630742027,73.8684893595885,74.3573942906973,75.1035097393567,73.2448236916397
Africa Eastern and Southern,AFE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,81.9293217658242,83.5500388786075,75.1809855113981,71.3718833965859,70.8075544059449,69.7257641113397,68.3630285644492,67.7377996223608,63.4229471071232,61.4916357499261,60.6228105603126
Africa Eastern and Southern,AFE,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,5.7840935656365,5.7315024698247,5.68904496996849,5.61150707791288,5.57963728787852,5.50777587182294,5.41344977118105,5.27403926006284,5.16868738905315,5.03125994904424,4.90133813008973
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,530308387,544737983,559609961,575202699,590968990,607123269,623369401,640058741,657801085,675950189,694446100
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.6006466175842,54.961240165203,55.2898561158278,55.5516641369456,55.691576869905,56.0339962553159,56.3875627997136,56.6207642286762,57.0307711269764,57.1428268060515,57.3577091392887
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,1664.49204549878,1846.10292552744,1943.37255535786,2134.24752369303,2224.32958643376,1863.40151301991,1632.42497788744,1577.20349674013,1723.11446346681,2219.41255534667,2034.43793971923
Africa Western and Central,AFW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.49414443704428,3.47733809150255,3.45159999875064,3.58102975824724,3.59914074177932,3.81020228561836,3.80268742713908,3.73310550709269,3.28852693690847,3.24983385590998,3.78820568649626
Africa Western and Central,AFW,"School enrollment, primary (% gross)",SE.PRM.ENRR,84.4784698486328,87.8220062255859,89.4396514892578,90.5897598266602,89.1206970214844,87.0966186523438,86.6979904174805,86.7825393676758,86.6523513793945,87.5555572509766,88.1576232910156
Africa Western and Central,AFW,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,65.202302256882,63.1707956702984,59.3512322777548,58.477232946681,57.740718248912,58.3773058984828,61.3210667627942,64.1011926842282,64.5822613071985,65.3008697302612,64.7915521297236
Africa Western and Central,AFW,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,117.476014195508,114.067745131608,111.214049041921,108.913498765347,107.620975614798,104.792583996923,103.14513535298,102.05803690267,100.218415291562,100.836050788105,97.6133123185047
Africa Western and Central,AFW,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,2.0761054599363,2.00010279092508,1.96034646402795,1.88096702993626,1.82957478152705,1.7489755714155,1.71185002348265,1.624545675018,1.59123080826967,1.51257436708001,1.42640459033144
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,363951468,374374251,384913331,395543613,406457241,417536152,428797338,440150152,451395343,462522286,473687685
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.8073221012027,69.3633376859826,69.842316602094,70.1921058451273,70.5350666310281,70.6580123695192,70.8964881164428,71.1128560080647,71.4312997859137,71.8398932674972,70.7265588103862
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,5957.50539498481,6924.20289420703,7392.55638357541,7384.79221541888,7347.6211570264,6299.87807685552,6051.26103619544,6105.92161804571,6708.53121256784,6683.67016877686,5749.75163256627
Arab World,ARB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.89784073269193,3.81100934787733,3.90798411215442,4.16615940997274,4.50346171584294,5.01268980779963,5.28754747977112,5.16279232756299,4.87070558790054,4.94577726319513,5.72107292849238
Arab World,ARB,"School enrollment, primary (% gross)",SE.PRM.ENRR,91.6954574584961,90.8111190795898,92.1455764770508,88.6862106323242,87.7741394042969,87.7070693969727,87.8686981201172,88.2721176147461,88.7614593505859,89.0579376220703,89.6436614990234
Arab World,ARB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,86.7977101873017,86.8368691604095,84.6483645670739,85.4947341248607,83.9859056377543,83.7727749246918,85.9158887396345,85.1220232991637,83.7870748045169,83.9627185288867,82.9925426666202
Arab World,ARB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,44.917359877498,53.8937199604241,43.2379757279856,40.0651107724651,38.966473325527,38.3264086280594,37.4469516814555,38.7097264210473,37.4834560622083,35.8477618830257,34.9116184492469
Arab World,ARB,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.109293546783877,0.108245537844981,0.107750842748536,0.107259869495319,0.106219942977083,0.105734216323572,0.105506510084662,0.104434904810817,0.104219166278245,0.103986063180822,0.103734150929332
Arab World,ARB,"Population, total",SP.POP.TOTL,363568534,372054934,381030177,390954281,400231008,410190679,419808341,428315886,435998060,444281315,453723239
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.0114366987074,71.266093287793,71.4019143290264,71.5692506084297,71.7739411761824,71.8641021665476,72.0516361154512,72.1731041595093,72.2210854022703,72.1292604830284,71.9394359303317
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,12652.5691256578,13503.1582761636,14225.6111466707,14575.4918879542,14962.943351851,14497.8798625347,13377.8260731233,13708.7525902396,13896.5484095788,13995.7626558947,11961.4085449634
Caribbean small states,CSS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.08617226679244,4.92606464011983,4.89619282061397,5.02066263725941,5.02332217946714,5.38567437618175,5.79141967927472,5.97087076748082,5.94749622539129,6.0899471806107,6.81972402950988
Caribbean small states,CSS,"School enrollment, primary (% gross)",SE.PRM.ENRR,101.148361206055,101.958076477051,101.867828369141,101.052429199219,99.7497100830078,99.7156524658203,99.3314819335938,98.6822204589844,99.6965789794922,98.5789184570312,97.1622467041016
Caribbean small states,CSS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,92.9284093424839,92.2414878076188,88.018028024607,92.6303475365041,92.1117839374556,91.598699839258,90.1191065577289,90.8148989095537,90.4037738050104,91.2080698761874,84.0484915869839
Caribbean small states,CSS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,24.8751909030545,24.46797830169,23.9873976108028,23.5459317439355,23.084774339181,22.5926085426782,22.1309816388208,21.6186888425685,21.0948856500277,21.4825706165536,20.2340787930087
Caribbean small states,CSS,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,1.29069542143979,1.27701918886834
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,4173335,4201107,4228445,4257682,4286546,4314191,4341333,4366140,4407658,4443134,4459302
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.2939657786314,75.8884748834282,76.0033944660035,76.3747350098375,76.6887696437325,76.5755119772504,76.9703062304413,76.929788715597,76.9764380835075,77.2659141936307,76.0162701269145
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,12635.7782121319,13997.3297794653,13104.0873095326,13712.7077940364,14208.4390487349,12596.9151136003,12874.7280619541,14339.8488594791,16227.2845341706,16534.9661895205,16581.3833261524
Central Europe and the Baltics,CEB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.87224735106938,6.57652635585737,6.59441920927471,6.65590021040537,6.5742930306582,6.49835896394208,6.64433101291191,6.56979982342561,6.5133634765495,6.61921860012405,7.19217806354904
Central Europe and the Baltics,CEB,"School enrollment, primary (% gross)",SE.PRM.ENRR,99.6034774780273,99.4442825317383,99.617431640625,98.5211563110352,97.7520599365234,96.9002227783203,96.1736373901367,95.9559783935547,95.3262329101562,95.8953704833984,91.6844635009766
Central Europe and the Baltics,CEB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97.1436608340925,96.5348432228572,96.5986269889752,96.3835279738231,95.2093662259357,94.1052239154188,93.7878862961721,93.3658885664189,93.4512506380807,93.203137413918,91.9275801686525
Central Europe and the Baltics,CEB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,7.33253040004125,6.95384740981372,6.62399998855631,6.31738620589922,6.03769013915952,5.80488075204549,5.53686433246911,5.27542081196346,5.04437891013553,4.86801997531672,4.73289141291711
